time,value
1995-07-01,2173787.8284
1995-10-01,2169172.0827
1996-01-01,2168442.1791
1996-04-01,2171523.0925
1996-07-01,2160540.9651
1996-10-01,2162192.7032
1997-01-01,2161677.6057
1997-04-01,2159150.5081
1997-07-01,2170455.3119
1997-10-01,2174737.2934
1998-01-01,2181671.4994
1998-04-01,2194310.085
1998-07-01,2200338.0529
1998-10-01,2206323.6886
1999-01-01,2216097.9951
1999-04-01,2232678.6061
1999-07-01,2246420.9647
1999-10-01,2267479.7318
2000-01-01,2278887.4246
2000-04-01,2304650.6324
2000-07-01,2309280.6082
2000-10-01,2323263.8185
2001-01-01,2344913.1248
2001-04-01,2347649.0978
2001-07-01,2354334.4873
2001-10-01,2358665.1065
2002-01-01,2359316.5354
2002-04-01,2361484.4028
2002-07-01,2371461.963
2002-10-01,2357729.323
2003-01-01,2351413.0669
2003-04-01,2345496.1398
2003-07-01,2346276.2399
2003-10-01,2355043.395
2004-01-01,2359535.1564
2004-04-01,2365761.7746
2004-07-01,2359782.7618
2004-10-01,2362342.9921
2005-01-01,2367637.7935
2005-04-01,2372088.0918
2005-07-01,2382583.8059
2005-10-01,2388544.157
2006-01-01,2413980.6632
2006-04-01,2419634.0175
2006-07-01,2439571.2497
2006-10-01,2459064.7347
2007-01-01,2476473.3049
2007-04-01,2500907.7133
2007-07-01,2518891.6466
2007-10-01,2540683.5197
2008-01-01,2565651.5576
2008-04-01,2588823.3145
2008-07-01,2599862.197
2008-10-01,2593571.9838
2009-01-01,2587970.3628
2009-04-01,2577366.793
2009-07-01,2581920.0988
2009-10-01,2593555.4846
2010-01-01,2603089.6274
2010-04-01,2614772.4349
2010-07-01,2623404.8041
2010-10-01,2637776.5988
2011-01-01,2637669.5659
2011-04-01,2660778.6841
2011-07-01,2666053.8748
2011-10-01,2677385.8199
2012-01-01,2695064.5551
2012-04-01,2714179.9616
2012-07-01,2734122.5991
2012-10-01,2747534.7503
2013-01-01,2758593.5142
2013-04-01,2770641.4847
2013-07-01,2780098.4202
2013-10-01,2781897.0835
2014-01-01,2793398.6511
2014-04-01,2791995.19
2014-07-01,2802479.0166
2014-10-01,2813303.3251
2015-01-01,2821617.4654
2015-04-01,2836364.6367
2015-07-01,2834182.9107
2015-10-01,2840246.0403
2016-01-01,2839908.6123
2016-04-01,2849261.0549
2016-07-01,2858221.8408
2016-10-01,2868700.6525
2017-01-01,2864589.1287
2017-04-01,2872003.7147
2017-07-01,2888983.394
2017-10-01,2895551.4034
2018-01-01,2924525.4442
2018-04-01,2939649.2483
2018-07-01,2945514.4072
2018-10-01,2955596.9384
2019-01-01,2980153.3661
2019-04-01,2989384.2882
2019-07-01,2991402.737
2019-10-01,3000216.296
2020-01-01,3005340.8407
2020-04-01,2991674.1212
2020-07-01,3006778.2874
2020-10-01,3013518.4222
2021-01-01,3013148.319
2021-04-01,3032693.3477
2021-07-01,3066884.5274
2021-10-01,3088781.2004
2022-01-01,3115646.7448
2022-04-01,3140600.9079
