time,value
1995-07-01,3935524.0326
1995-10-01,3924113.8645
1996-01-01,3905736.7496
1996-04-01,3897701.8209
1996-07-01,3877263.3859
1996-10-01,3868288.8724
1997-01-01,3858162.5483
1997-04-01,3846473.9556
1997-07-01,3864272.6213
1997-10-01,3863418.4953
1998-01-01,3875483.5452
1998-04-01,3891840.442
1998-07-01,3900155.8617
1998-10-01,3909064.5834
1999-01-01,3926587.4117
1999-04-01,3955564.8561
1999-07-01,3983647.8686
1999-10-01,4020505.6194
2000-01-01,4048555.6802
2000-04-01,4077649.1094
2000-07-01,4087927.3551
2000-10-01,4116387.4839
2001-01-01,4138627.6532
2001-04-01,4134999.4308
2001-07-01,4147921.616
2001-10-01,4149140.5634
2002-01-01,4150057.0324
2002-04-01,4144526.2461
2002-07-01,4164602.9088
2002-10-01,4136500.365
2003-01-01,4126267.9586
2003-04-01,4127821.0864
2003-07-01,4125298.8327
2003-10-01,4141077.8865
2004-01-01,4149354.7093
2004-04-01,4154389.5712
2004-07-01,4153559.2309
2004-10-01,4161577.9361
2005-01-01,4162427.2038
2005-04-01,4178251.4488
2005-07-01,4200575.712
2005-10-01,4208566.6416
2006-01-01,4239407.519
2006-04-01,4256603.5158
2006-07-01,4301722.657
2006-10-01,4337395.8971
2007-01-01,4364846.6971
2007-04-01,4407358.6303
2007-07-01,4439503.0779
2007-10-01,4486372.0818
2008-01-01,4523443.6347
2008-04-01,4559425.0953
2008-07-01,4572198.6813
2008-10-01,4552348.1581
2009-01-01,4545561.6603
2009-04-01,4522506.9896
2009-07-01,4520056.249
2009-10-01,4536002.063
2010-01-01,4551129.209
2010-04-01,4562755.1677
2010-07-01,4575672.8779
2010-10-01,4601827.8603
2011-01-01,4589671.1304
2011-04-01,4620560.4546
2011-07-01,4629044.2915
2011-10-01,4645087.4619
2012-01-01,4671233.7527
2012-04-01,4700648.5624
2012-07-01,4734228.628
2012-10-01,4749076.0101
2013-01-01,4763971.4205
2013-04-01,4777764.549
2013-07-01,4790840.4541
2013-10-01,4796019.3836
2014-01-01,4811471.9201
2014-04-01,4814735.1771
2014-07-01,4830090.0746
2014-10-01,4842145.4085
2015-01-01,4849950.2244
2015-04-01,4871471.2354
2015-07-01,4884013.8729
2015-10-01,4901019.6723
2016-01-01,4898172.0114
2016-04-01,4908759.1995
2016-07-01,4914704.2997
2016-10-01,4940325.0245
2017-01-01,4933965.2287
2017-04-01,4944683.4025
2017-07-01,4971517.4236
2017-10-01,4998677.4748
2018-01-01,5026528.1804
2018-04-01,5052372.3949
2018-07-01,5059400.609
2018-10-01,5072209.8565
2019-01-01,5103698.0036
2019-04-01,5129640.5354
2019-07-01,5142288.372
2019-10-01,5151153.3598
2020-01-01,5150459.4923
2020-04-01,5100150.7824
2020-07-01,5121962.1175
2020-10-01,5127773.0331
