time,value
1995-07-01,78302.8976903226
1995-10-01,80299.9597895455
1996-01-01,81766.7737109627
1996-04-01,83961.7620257518
1996-07-01,85525.3518947325
1996-10-01,83559.0642909801
1997-01-01,79126.1288509836
1997-04-01,77541.7982244828
1997-07-01,80311.875649503
1997-10-01,84208.2838746701
1998-01-01,86219.501378991
1998-04-01,86521.0933521816
1998-07-01,84511.9628822766
1998-10-01,84916.5457342795
1999-01-01,88446.9112095142
1999-04-01,90344.8657083915
1999-07-01,90498.9881207315
1999-10-01,91752.5276822432
2000-01-01,94150.5434051489
2000-04-01,94974.673127015
2000-07-01,95057.0743433658
2000-10-01,95427.3112070775
2001-01-01,95331.5758335251
2001-04-01,94543.1381422557
2001-07-01,96121.4557965497
2001-10-01,98005.6582887594
2002-01-01,98650.5150158395
2002-04-01,98151.8984276056
2002-07-01,95977.7277164034
2002-10-01,93715.1999090266
2003-01-01,93808.5807812035
2003-04-01,95287.0941778621
2003-07-01,95427.2007944126
2003-10-01,94476.9497990514
2004-01-01,93910.0720797821
2004-04-01,94729.5329555194
2004-07-01,96307.6133791034
2004-10-01,97867.9227558404
2005-01-01,98699.0960777536
2005-04-01,99413.6102058641
2005-07-01,99556.5695722016
2005-10-01,99505.2561908665
2006-01-01,99386.2865235012
2006-04-01,99809.6087354506
2006-07-01,101186.168128596
2006-10-01,102545.008157621
2007-01-01,102974.979354067
2007-04-01,103444.503356605
2007-07-01,104826.754850582
2007-10-01,106780.302640531
2008-01-01,109149.347141285
2008-04-01,110935.916252424
2008-07-01,111573.687696869
2008-10-01,111351.291932272
2009-01-01,111159.341038674
2009-04-01,111222.701539473
2009-07-01,111447.91029946
2009-10-01,112143.022340168
2010-01-01,113212.65935961
2010-04-01,114052.524865973
2010-07-01,114189.055699598
2010-10-01,113550.530466849
2011-01-01,113009.125265914
2011-04-01,113604.764310055
2011-07-01,114397.268396261
2011-10-01,114834.088087766
2012-01-01,116079.765814233
2012-04-01,118262.704186481
2012-07-01,119720.262940191
2012-10-01,120281.025057943
2013-01-01,119771.645358169
2013-04-01,118716.120412862
2013-07-01,118701.394929582
2013-10-01,120015.324383387
2014-01-01,121158.69507911
2014-04-01,121806.791149701
2014-07-01,122573.594610409
2014-10-01,121908.636614752
2015-01-01,121015.941715505
2015-04-01,121722.183385195
2015-07-01,122999.547136223
2015-10-01,123287.59979611
2016-01-01,124595.08900564
2016-04-01,125658.886462093
2016-07-01,125540.199369599
2016-10-01,125885.33810864
2017-01-01,125683.087964119
2017-04-01,124477.980416978
2017-07-01,124886.039049952
2017-10-01,127482.670521988
2018-01-01,128819.258712213
2018-04-01,127545.607621728
2018-07-01,126072.783377727
2018-10-01,126420.135833953
2019-01-01,127759.085873034
2019-04-01,129655.72110464
2019-07-01,130824.585796668
2019-10-01,131558.883272986
2020-01-01,132746.391543856
2020-04-01,134550.304341153
2020-07-01,134480.24770717
2020-10-01,132948.124996601
2021-01-01,131146.980802534
2021-04-01,131031.258704163
2021-07-01,132602.442418044
2021-10-01,134467.84238242
2022-01-01,135719.048230649
2022-04-01,136150.654029957
2022-07-01,136733.952725716
2022-10-01,136586.070591498
2023-01-01,136413.433400448
2023-04-01,137102.419724858
2023-07-01,139212.833075131
2023-10-01,140665.351200084
2024-01-01,141248.640635873
2024-04-01,141119.717476657
2024-07-01,141563.428002443
2024-10-01,142889.119910791
2025-01-01,144678.078890578
2025-04-01,145879.065935048
2025-07-01,146159.263480032
2025-10-01,146208.501484063
