time,value
1995-07-01,332172.460630551
1995-10-01,327098.768647888
1996-01-01,326946.666153876
1996-04-01,331257.162847271
1996-07-01,332515.857174066
1996-10-01,331493.227576011
1997-01-01,329800.974331967
1997-04-01,326293.611674326
1997-07-01,326822.86631504
1997-10-01,330956.570690229
1998-01-01,333613.473302409
1998-04-01,335566.943514651
1998-07-01,338407.807281
1998-10-01,341967.109198
1999-01-01,347098.380556168
1999-04-01,352043.544132615
1999-07-01,355307.129637885
1999-10-01,358892.837189804
2000-01-01,364313.018594941
2000-04-01,369238.663352681
2000-07-01,372518.817451299
2000-10-01,374019.571421002
2001-01-01,373565.465492562
2001-04-01,371496.843917538
2001-07-01,370024.740506164
2001-10-01,369778.184422203
2002-01-01,369274.2994134
2002-04-01,369738.425840795
2002-07-01,368664.384455986
2002-10-01,365153.274382068
2003-01-01,362168.263598802
2003-04-01,362815.894965062
2003-07-01,364959.864807864
2003-10-01,367741.752540284
2004-01-01,370722.66264857
2004-04-01,370790.813464801
2004-07-01,368547.590972723
2004-10-01,366260.167130435
2005-01-01,365465.325609097
2005-04-01,366711.852683335
2005-07-01,369910.951343579
2005-10-01,372739.389454007
2006-01-01,374256.061003724
2006-04-01,377154.403895856
2006-07-01,381299.10363875
2006-10-01,384758.43676197
2007-01-01,387645.934243174
2007-04-01,391283.367706007
2007-07-01,395015.592694108
2007-10-01,400464.197812811
2008-01-01,407545.020991369
2008-04-01,413055.049358323
2008-07-01,415897.211130209
2008-10-01,417124.127079496
2009-01-01,416399.350450459
2009-04-01,414493.780471573
2009-07-01,413709.909616108
2009-10-01,413838.137590586
2010-01-01,414098.281030963
2010-04-01,414896.069037958
2010-07-01,417052.056338734
2010-10-01,419159.32201709
2011-01-01,420680.075476127
2011-04-01,421439.364277635
2011-07-01,422011.971824764
2011-10-01,423419.236555496
2012-01-01,426125.768690452
2012-04-01,429452.854972234
2012-07-01,432719.815129299
2012-10-01,435048.898075746
2013-01-01,435675.000527562
2013-04-01,435852.173290419
2013-07-01,435554.799277084
2013-10-01,436421.251366664
2014-01-01,439139.397240672
2014-04-01,441801.188777722
2014-07-01,443602.449051069
2014-10-01,444973.866085955
2015-01-01,446709.928568866
2015-04-01,450034.052271422
2015-07-01,453411.713449151
2015-10-01,455101.052132519
2016-01-01,455424.098362331
2016-04-01,454531.391285314
2016-07-01,453931.281140483
2016-10-01,454198.310106862
2017-01-01,455686.972404498
2017-04-01,458416.314645841
2017-07-01,461355.246905627
2017-10-01,464263.697291239
2018-01-01,468307.05640555
2018-04-01,471981.138045622
2018-07-01,474595.319375409
2018-10-01,478510.651675337
2019-01-01,482596.987570103
2019-04-01,484872.435423384
2019-07-01,486337.193656889
2019-10-01,488228.629230766
2020-01-01,487950.857332808
2020-04-01,486016.280758395
2020-07-01,484097.321650251
2020-10-01,481862.331024591
2021-01-01,481735.693177496
2021-04-01,485074.943532227
2021-07-01,490767.231413388
2021-10-01,495151.230543034
2022-01-01,498354.082161504
2022-04-01,503516.277054597
2022-07-01,511001.307887937
2022-10-01,516593.349800457
2023-01-01,520682.187895915
2023-04-01,523380.261210098
2023-07-01,523958.677846347
2023-10-01,525114.382874083
2024-01-01,526912.141893402
2024-04-01,527861.020685986
2024-07-01,528559.805752912
2024-10-01,530723.368182594
