time,value
1995-07-01,174167.013170066
1995-10-01,173397.864402638
1996-01-01,172019.137881891
1996-04-01,169680.987098627
1996-07-01,167907.377248699
1996-10-01,166126.647049258
1997-01-01,165110.059562238
1997-04-01,164447.06252492
1997-07-01,162465.281813707
1997-10-01,160902.870061677
1998-01-01,160808.059091687
1998-04-01,161367.914721375
1998-07-01,163051.505720105
1998-10-01,163288.789453928
1999-01-01,161906.341899461
1999-04-01,162241.623816997
1999-07-01,160928.907364403
1999-10-01,163700.989111032
2000-01-01,162002.999514648
2000-04-01,160239.792845387
2000-07-01,160589.882178166
2000-10-01,160596.487256577
2001-01-01,162276.383477955
2001-04-01,162469.320632431
2001-07-01,161506.905142203
2001-10-01,160912.541395741
2002-01-01,160016.899968606
2002-04-01,159291.518415782
2002-07-01,158453.071626251
2002-10-01,157814.53014009
2003-01-01,157980.517248304
2003-04-01,158422.331754636
2003-07-01,158111.569725681
2003-10-01,159497.822097218
2004-01-01,158497.826680463
2004-04-01,156856.264545115
2004-07-01,158520.092369957
2004-10-01,157901.676966049
2005-01-01,157939.464891506
2005-04-01,158993.941628783
2005-07-01,159905.482032024
2005-10-01,159193.524039175
2006-01-01,159666.363179957
2006-04-01,161886.154668085
2006-07-01,163322.12860486
2006-10-01,164599.078998882
2007-01-01,167027.149723681
2007-04-01,168252.577771837
2007-07-01,167944.696830921
2007-10-01,171168.273384345
2008-01-01,171894.713372723
2008-04-01,171055.88159788
2008-07-01,172075.309454226
2008-10-01,171630.363653239
2009-01-01,169197.713949498
2009-04-01,166727.431556145
2009-07-01,165991.824428497
2009-10-01,165141.386014997
2010-01-01,166048.328180689
2010-04-01,167594.88064326
2010-07-01,168565.026634969
2010-10-01,169909.993171371
2011-01-01,170679.537442468
2011-04-01,171498.357634314
2011-07-01,172147.438826047
2011-10-01,172202.675900072
2012-01-01,172738.443433635
2012-04-01,172585.241836708
2012-07-01,172521.838552551
2012-10-01,171746.52952418
2013-01-01,171278.495283639
2013-04-01,171354.973347163
2013-07-01,170387.481830777
2013-10-01,170608.385803455
2014-01-01,169598.531338979
2014-04-01,169905.895846273
2014-07-01,170689.409664418
2014-10-01,170146.462656224
2015-01-01,170676.955349859
2015-04-01,168775.338551222
2015-07-01,167663.35165822
2015-10-01,169063.004299778
2016-01-01,168422.38506977
2016-04-01,168943.418072784
2016-07-01,169453.338302181
2016-10-01,168852.64281815
2017-01-01,169542.933744469
2017-04-01,169249.244607702
2017-07-01,169254.755453124
2017-10-01,170187.438983035
2018-01-01,170247.39762459
2018-04-01,172236.366606857
2018-07-01,171798.690456613
2018-10-01,172843.410591369
2019-01-01,173862.789415339
2019-04-01,174680.679421672
2019-07-01,176966.293289342
2019-10-01,176996.211588278
2020-01-01,176578.403264474
2020-04-01,175585.245476473
2020-07-01,174466.753663014
2020-10-01,174748.180405435
2021-01-01,173486.757152969
2021-04-01,174025.354386539
2021-07-01,175700.343839226
2021-10-01,174968.078488778
2022-01-01,176273.78508693
2022-04-01,177448.066131042
2022-07-01,177111.799741978
2022-10-01,178595.787821575
2023-01-01,179619.513475053
2023-04-01,178554.655543582
2023-07-01,178692.688938284
2023-10-01,177543.726644853
2024-01-01,177493.378205338
2024-04-01,178070.268479298
2024-07-01,177996.97568078
2024-10-01,177765.258538688
2025-01-01,177165.545683577
2025-04-01,176237.121171959
2025-07-01,174966.283103151
2025-10-01,176767.126321354
