time,value
1995-07-01,145980.193485952
1995-10-01,147505.681351254
1996-01-01,146414.360729533
1996-04-01,145560.238849007
1996-07-01,143010.667979269
1996-10-01,142698.540644705
1997-01-01,142320.977435658
1997-04-01,142620.842624271
1997-07-01,144927.407475959
1997-10-01,145093.293403483
1998-01-01,146096.793298934
1998-04-01,145523.425815696
1998-07-01,146981.80481036
1998-10-01,145232.288687169
1999-01-01,146849.709411255
1999-04-01,147812.270304782
1999-07-01,147328.578030334
1999-10-01,148265.459357578
2000-01-01,149322.367893868
2000-04-01,151263.922128308
2000-07-01,150777.118806974
2000-10-01,151419.690156526
2001-01-01,151202.438987543
2001-04-01,150620.93541425
2001-07-01,152045.007512641
2001-10-01,152047.060911225
2002-01-01,152087.160547383
2002-04-01,152122.622485764
2002-07-01,153400.524422309
2002-10-01,153669.442849749
2003-01-01,151787.592865835
2003-04-01,151636.060944921
2003-07-01,151639.32514331
2003-10-01,151721.785202185
2004-01-01,152312.420610321
2004-04-01,153366.679039269
2004-07-01,151863.714042775
2004-10-01,150679.220057702
2005-01-01,150938.402367403
2005-04-01,151182.929806128
2005-07-01,150271.783081326
2005-10-01,152825.360872549
2006-01-01,153803.857489262
2006-04-01,152299.233101679
2006-07-01,154265.988088668
2006-10-01,155414.018384156
2007-01-01,156486.828615919
2007-04-01,155706.886026903
2007-07-01,156119.017750007
2007-10-01,156754.287072713
2008-01-01,157602.842160354
2008-04-01,158221.783716664
2008-07-01,158172.637792635
2008-10-01,156032.563840359
2009-01-01,155761.645735333
2009-04-01,154776.749580342
2009-07-01,154992.430180816
2009-10-01,156638.771192018
2010-01-01,157085.194508535
2010-04-01,158425.415260474
2010-07-01,159310.045445597
2010-10-01,159640.61405282
2011-01-01,159536.468550676
2011-04-01,161301.937493938
2011-07-01,162360.311649153
2011-10-01,162163.638218485
2012-01-01,163231.706267268
2012-04-01,164896.452673869
2012-07-01,164962.37910883
2012-10-01,166968.209047507
2013-01-01,167311.71946774
2013-04-01,167193.753521926
2013-07-01,167765.286955481
2013-10-01,168688.474540447
2014-01-01,168493.252326038
2014-04-01,170035.366900945
2014-07-01,170767.746945988
2014-10-01,170358.513017605
2015-01-01,170058.315263604
2015-04-01,169169.0560581
2015-07-01,167400.910199687
2015-10-01,168008.098244287
2016-01-01,168488.17216792
2016-04-01,168970.9238411
2016-07-01,170866.510590893
2016-10-01,170858.335210407
2017-01-01,171348.067282406
2017-04-01,172082.171683377
2017-07-01,174493.662092769
2017-10-01,173408.693827558
2018-01-01,176308.912972767
2018-04-01,175057.694888267
2018-07-01,173656.330864157
2018-10-01,173452.667976371
2019-01-01,172930.56635119
2019-04-01,172848.197390715
2019-07-01,169534.32016679
2019-10-01,169451.607769289
2020-01-01,169246.397207758
2020-04-01,166540.629954512
2020-07-01,170752.318611486
2020-10-01,171722.25919983
2021-01-01,171539.9117503
2021-04-01,174037.795619457
2021-07-01,175306.457864337
2021-10-01,173183.378007865
2022-01-01,174994.440484424
2022-04-01,176106.18553178
2022-07-01,176292.837760099
2022-10-01,178292.855670241
2023-01-01,177627.769014589
2023-04-01,177850.310962627
2023-07-01,177820.094203826
2023-10-01,177937.128020072
2024-01-01,178240.084100545
2024-04-01,177618.857286851
2024-07-01,178276.550141537
2024-10-01,179491.931882263
2025-01-01,179675.702972837
2025-04-01,179018.098161943
2025-07-01,179451.653449245
