time,value
1995-07-01,116263.217
1995-10-01,118493.9848
1996-01-01,115986.7802
1996-04-01,114258.2148
1996-07-01,115497.1249
1996-10-01,117078.9309
1997-01-01,118303.2163
1997-04-01,117439.0103
1997-07-01,119213.6942
1997-10-01,117850.0884
1998-01-01,117829.3638
1998-04-01,117929.6636
1998-07-01,117874.1796
1998-10-01,117837.9389
1999-01-01,118863.8509
1999-04-01,116813.5666
1999-07-01,119765.8045
1999-10-01,119554.5554
2000-01-01,120318.4031
2000-04-01,120511.4571
2000-07-01,121369.1724
2000-10-01,123206.9304
2001-01-01,125313.5671
2001-04-01,123585.3011
2001-07-01,125075.0139
2001-10-01,125955.0403
2002-01-01,124187.4754
2002-04-01,122408.2695
2002-07-01,125160.6399
2002-10-01,124126.5173
2003-01-01,124603.1926
2003-04-01,124080.7021
2003-07-01,126321.2157
2003-10-01,128572.8068
2004-01-01,127339.9371
2004-04-01,127806.0387
2004-07-01,129807.2078
2004-10-01,131458.2914
2005-01-01,130872.8518
2005-04-01,128965.6721
2005-07-01,127452.457
2005-10-01,131130.6072
2006-01-01,130626.0076
2006-04-01,128562.1904
2006-07-01,132522.4462
2006-10-01,135539.8862
2007-01-01,134259.4351
2007-04-01,133230.8879
2007-07-01,136583.1868
2007-10-01,138398.2133
2008-01-01,137970.4725
2008-04-01,139696.422
2008-07-01,139818.3249
2008-10-01,143099.5403
2009-01-01,141053.4294
2009-04-01,138902.5524
2009-07-01,140003.0169
2009-10-01,143180.0787
2010-01-01,141861.6016
2010-04-01,140929.5523
2010-07-01,142994.9353
2010-10-01,143616.0182
2011-01-01,140778.399
2011-04-01,141238.5146
2011-07-01,141945.1158
2011-10-01,143359.6524
2012-01-01,142753.9434
2012-04-01,142470.3608
2012-07-01,144307.1648
2012-10-01,147599.2724
2013-01-01,146308.0573
2013-04-01,145750.4458
2013-07-01,147273.5161
2013-10-01,149051.384
2014-01-01,147220.2552
2014-04-01,147912.9675
2014-07-01,147177.4088
2014-10-01,148992.6844
2015-01-01,148562.2757
2015-04-01,148811.4657
2015-07-01,151023.9711
2015-10-01,151659.0893
2016-01-01,150955.4266
2016-04-01,150490.1435
2016-07-01,150868.6714
2016-10-01,153825.1683
2017-01-01,152344.7617
2017-04-01,149908.6487
2017-07-01,150586.5244
2017-10-01,152798.6948
2018-01-01,152389.9878
2018-04-01,149977.1211
2018-07-01,151302.1252
2018-10-01,152896.4768
2019-01-01,153457.7445
2019-04-01,151260.605
2019-07-01,152898.2924
2019-10-01,152783.8907
2020-01-01,154690.9041
2020-04-01,152049.6255
