time,value
1995-07-01,220389.6135
1995-10-01,225025.3097
1996-01-01,217870.7529
1996-04-01,215617.659
1996-07-01,217237.6755
1996-10-01,219272.1227
1997-01-01,220699.4165
1997-04-01,221993.3489
1997-07-01,222265.0241
1997-10-01,217399.4621
1998-01-01,219442.5604
1998-04-01,221757.2136
1998-07-01,221581.9489
1998-10-01,220769.3852
1999-01-01,222627.4621
1999-04-01,223040.9375
1999-07-01,228351.1586
1999-10-01,228671.8553
2000-01-01,230236.7137
2000-04-01,232040.2819
2000-07-01,235147.4402
2000-10-01,234608.3827
2001-01-01,235506.8536
2001-04-01,236487.9955
2001-07-01,236458.9336
2001-10-01,237460.2831
2002-01-01,236729.4506
2002-04-01,234553.7272
2002-07-01,238845.8005
2002-10-01,238297.8169
2003-01-01,237481.2894
2003-04-01,237470.6369
2003-07-01,240444.9531
2003-10-01,243380.3065
2004-01-01,242595.9084
2004-04-01,243912.4742
2004-07-01,248329.0182
2004-10-01,248733.981
2005-01-01,247813.8054
2005-04-01,247396.9249
2005-07-01,243680.5428
2005-10-01,248296.8686
2006-01-01,246741.2237
2006-04-01,245583.6946
2006-07-01,253499.7508
2006-10-01,257802.1071
2007-01-01,257063.3385
2007-04-01,257388.1203
2007-07-01,262225.8189
2007-10-01,265190.9927
2008-01-01,264835.974
2008-04-01,268499.0186
2008-07-01,266121.6642
2008-10-01,268846.6056
2009-01-01,267184.2605
2009-04-01,266160.2298
2009-07-01,267138.21
2009-10-01,268972.5409
2010-01-01,268752.5897
2010-04-01,268339.034
2010-07-01,271011.5324
2010-10-01,271124.7208
2011-01-01,265920.4774
2011-04-01,268217.9755
2011-07-01,268717.0455
2011-10-01,269862.6582
2012-01-01,268916.706
2012-04-01,269834.3553
2012-07-01,273731.009
2012-10-01,277155.1797
2013-01-01,275500.7303
2013-04-01,275622.0757
2013-07-01,277723.937
2013-10-01,278186.7358
2014-01-01,276279.3998
2014-04-01,277576.3657
2014-07-01,277565.5677
2014-10-01,278569.1712
2015-01-01,279122.5348
2015-04-01,279722.3869
2015-07-01,282857.4783
2015-10-01,283070.821
2016-01-01,282411.5274
2016-04-01,283337.0636
2016-07-01,282603.9341
2016-10-01,288032.3189
2017-01-01,286703.9366
2017-04-01,282193.646
2017-07-01,284112.1005
2017-10-01,287812.833
2018-01-01,286619.3571
2018-04-01,284846.4927
2018-07-01,291027.5675
2018-10-01,292038.514
2019-01-01,293556.5201
2019-04-01,292585.7436
2019-07-01,295979.4956
2019-10-01,298980.0664
2020-01-01,300968.2184
2020-04-01,294791.6423
2020-07-01,298150.8102
2020-10-01,304629.3375
2021-01-01,302352.2259
2021-04-01,302249.4093
2021-07-01,309031.1635
2021-10-01,311904.0987
2022-01-01,311657.9334
2022-04-01,311719.4674
2022-07-01,311852.3647
2022-10-01,315804.8929
2023-01-01,317509.9015
2023-04-01,317437.5896
2023-07-01,319586.9944
2023-10-01,324646.7598
2024-01-01,323570.9305
2024-04-01,318705.9973
2024-07-01,321090.8558
2024-10-01,329903.3262
2025-01-01,329310.0577
2025-04-01,326807.5034
