time,value
1995-07-01,530949.36146403
1995-10-01,536945.925093303
1996-01-01,527982.491029922
1996-04-01,523946.245503527
1996-07-01,520503.398116708
1996-10-01,521517.849238323
1997-01-01,522206.79061482
1997-04-01,522524.270684148
1997-07-01,523952.582912026
1997-10-01,520855.913665295
1998-01-01,523159.942779919
1998-04-01,524790.698667279
1998-07-01,526076.912718532
1998-10-01,525334.11607377
1999-01-01,527131.136987305
1999-04-01,530392.357693096
1999-07-01,533681.163790064
1999-10-01,539285.614988053
2000-01-01,539956.691881663
2000-04-01,542123.638687693
2000-07-01,542632.661416267
2000-10-01,543360.394474505
2001-01-01,546015.713130345
2001-04-01,546539.02824761
2001-07-01,546585.252544809
2001-10-01,546180.031415722
2002-01-01,546709.096103805
2002-04-01,545302.365011594
2002-07-01,547825.318566472
2002-10-01,546824.964849843
2003-01-01,546008.036536208
2003-04-01,546954.323726026
2003-07-01,547910.534832609
2003-10-01,552816.253834423
2004-01-01,552749.598460614
2004-04-01,555717.487623597
2004-07-01,558406.735299551
2004-10-01,555820.040121326
2005-01-01,557107.672226278
2005-04-01,559171.541947658
2005-07-01,554013.842012057
2005-10-01,560074.596495033
2006-01-01,560934.846207873
2006-04-01,561394.901715175
2006-07-01,571335.607080225
2006-10-01,576255.504564082
2007-01-01,582124.833160522
2007-04-01,582988.104940175
2007-07-01,586398.253997231
2007-10-01,591741.479927727
2008-01-01,594965.855004121
2008-04-01,599519.835363632
2008-07-01,596402.239171695
2008-10-01,594283.616138544
2009-01-01,592777.420893391
2009-04-01,589583.342687194
2009-07-01,588387.48578959
2009-10-01,590400.356883153
2010-01-01,593349.762102058
2010-04-01,596290.39017099
2010-07-01,599298.094813866
2010-10-01,599384.757733005
2011-01-01,596671.864741827
2011-04-01,601511.148073286
2011-07-01,601894.557046178
2011-10-01,602237.556837515
2012-01-01,604800.530534312
2012-04-01,609995.744091397
2012-07-01,614002.499479178
2012-10-01,618591.491195447
2013-01-01,620186.988486296
2013-04-01,620515.838249003
2013-07-01,620604.503498057
2013-10-01,620911.264915281
2014-01-01,618955.465131228
2014-04-01,622397.212455021
2014-07-01,623556.159187619
2014-10-01,621998.836375911
2015-01-01,624764.711388136
2015-04-01,622825.552224373
2015-07-01,623285.464700117
2015-10-01,624793.933131432
2016-01-01,626354.431036853
2016-04-01,630054.004211195
2016-07-01,629562.317066573
2016-10-01,634354.565788668
2017-01-01,634649.512984666
2017-04-01,633318.251836678
2017-07-01,635939.133777092
2017-10-01,638964.840315259
2018-01-01,641291.727773749
2018-04-01,643276.400971505
2018-07-01,644133.050618417
2018-10-01,644161.144998372
2019-01-01,647181.714209748
2019-04-01,649851.396117049
2019-07-01,652198.985964131
2019-10-01,653002.552558748
2020-01-01,653418.052565404
2020-04-01,647132.970624365
