time,value
1995-07-01,246453.167687209
1995-10-01,242134.044510393
1996-01-01,241651.084827836
1996-04-01,242992.356145132
1996-07-01,241036.721240885
1996-10-01,239151.774980334
1997-01-01,237507.277431254
1997-04-01,236232.797570151
1997-07-01,236650.865922829
1997-10-01,237902.062212049
1998-01-01,239365.362086555
1998-04-01,239311.998215694
1998-07-01,239720.334706938
1998-10-01,239315.48920461
1999-01-01,237926.695844289
1999-04-01,236673.702434976
1999-07-01,237289.500282896
1999-10-01,238922.296165288
2000-01-01,238868.298529809
2000-04-01,243083.717288843
2000-07-01,243963.538064819
2000-10-01,246134.388376157
2001-01-01,249392.465635538
2001-04-01,251151.383556191
2001-07-01,250428.902602031
2001-10-01,250384.294395318
2002-01-01,250016.399408264
2002-04-01,251256.300544062
2002-07-01,251647.655911039
2002-10-01,249665.816817105
2003-01-01,248392.327703313
2003-04-01,246303.704208255
2003-07-01,244814.169025616
2003-10-01,246034.036114376
2004-01-01,247791.158434329
2004-04-01,248424.224197304
2004-07-01,248495.496763396
2004-10-01,248511.592276285
2005-01-01,248921.542579233
2005-04-01,249702.218877746
2005-07-01,250643.352000464
2005-10-01,252890.815435358
2006-01-01,254237.500781364
2006-04-01,256733.104893548
2006-07-01,258652.721433967
2006-10-01,260940.210077995
2007-01-01,261394.825080009
2007-04-01,264245.015321678
2007-07-01,269090.428115859
2007-10-01,269997.12485973
2008-01-01,271218.460149463
2008-04-01,274769.012852932
2008-07-01,272026.982263787
2008-10-01,272136.502272852
2009-01-01,272445.402066552
2009-04-01,269181.990008771
2009-07-01,269899.402497777
2009-10-01,270077.189080546
2010-01-01,272640.696566362
2010-04-01,273533.520167058
2010-07-01,272819.674901809
2010-10-01,272819.799917551
2011-01-01,271498.967842958
2011-04-01,271577.241641358
2011-07-01,271311.300243377
2011-10-01,272725.499097143
2012-01-01,273863.762660762
2012-04-01,277687.047723217
2012-07-01,280694.010326447
2012-10-01,280929.060643492
2013-01-01,282317.147651184
2013-04-01,281150.702752958
2013-07-01,284659.380164299
2013-10-01,285508.589142393
2014-01-01,284679.539827001
2014-04-01,279397.313394935
2014-07-01,282620.31120765
2014-10-01,282806.311859145
2015-01-01,285382.976063588
2015-04-01,288642.783779372
2015-07-01,283836.526849385
2015-10-01,284298.949154869
2016-01-01,284437.410153409
2016-04-01,289236.526272227
2016-07-01,290165.837220283
2016-10-01,291798.010011396
2017-01-01,284700.79014931
2017-04-01,287595.590516129
2017-07-01,290230.010436997
2017-10-01,292134.042920079
2018-01-01,294662.716406355
2018-04-01,294902.510521571
2018-07-01,293025.625773736
2018-10-01,295678.565735105
2019-01-01,297083.772041205
2019-04-01,296525.140499435
2019-07-01,297890.652597701
2019-10-01,297779.836803539
2020-01-01,301085.827115608
2020-04-01,300615.632095523
2020-07-01,299254.726886089
2020-10-01,295367.338662003
2021-01-01,295894.225544481
2021-04-01,295359.512726273
2021-07-01,302048.58951079
2021-10-01,307055.551693841
2022-01-01,307071.730233935
2022-04-01,313261.777867052
2022-07-01,313495.982282143
2022-10-01,315011.399929499
2023-01-01,314702.446669609
2023-04-01,316659.1143981
