time,value
1995-07-01,74764.3845
1995-10-01,75187.1844
1996-01-01,72385.2608
1996-04-01,72555.7482
1996-07-01,72497.3367
1996-10-01,74269.9335
1997-01-01,73490.2893
1997-04-01,75176.3314
1997-07-01,78514.8815
1997-10-01,76766.5974
1998-01-01,76679.1042
1998-04-01,77233.3086
1998-07-01,81898.2547
1998-10-01,80956.8291
1999-01-01,82926.4172
1999-04-01,83490.1772
1999-07-01,86091.3464
1999-10-01,87708.5941
2000-01-01,89562.8784
2000-04-01,93876.0205
2000-07-01,95254.4184
2000-10-01,94667.8992
2001-01-01,96251.3578
2001-04-01,95767.1411
2001-07-01,94782.4469
2001-10-01,95322.1111
2002-01-01,94721.7548
2002-04-01,92881.0838
2002-07-01,95429.4607
2002-10-01,95871.217
2003-01-01,95213.102
2003-04-01,97646.088
2003-07-01,98428.2297
2003-10-01,99168.2945
2004-01-01,99113.0243
2004-04-01,99606.6308
2004-07-01,100284.7587
2004-10-01,99343.2197
2005-01-01,99670.6071
2005-04-01,101655.4214
2005-07-01,103279.1797
2005-10-01,104555.4647
2006-01-01,104486.0563
2006-04-01,108023.2743
2006-07-01,109309.0015
2006-10-01,109487.2039
2007-01-01,110726.5727
2007-04-01,114340.6704
2007-07-01,115845.9819
2007-10-01,116879.9247
2008-01-01,116907.5558
2008-04-01,118640.2157
2008-07-01,117597.3096
2008-10-01,115902.1266
2009-01-01,116151.7424
2009-04-01,117197.309
2009-07-01,119700.4068
2009-10-01,118564.7093
2010-01-01,121174.9927
2010-04-01,122095.1064
2010-07-01,123136.6545
2010-10-01,122632.343
2011-01-01,121234.0285
2011-04-01,122560.3992
2011-07-01,122608.2637
2011-10-01,124432.2606
2012-01-01,125823.2162
2012-04-01,126768.6685
2012-07-01,129194.4918
2012-10-01,131578.9022
2013-01-01,135158.0379
2013-04-01,133511.8833
2013-07-01,134183.3022
2013-10-01,133843.5248
2014-01-01,133100.8058
2014-04-01,132894.5195
2014-07-01,132357.4271
2014-10-01,134212.4628
2015-01-01,134394.4022
2015-04-01,131635.159
2015-07-01,133651.0284
2015-10-01,134019.9787
2016-01-01,133748.6958
2016-04-01,132919.4811
2016-07-01,136833.5641
2016-10-01,139473.6056
2017-01-01,137045.8397
2017-04-01,142026.9121
2017-07-01,145737.6475
2017-10-01,147166.3276
2018-01-01,141584.2963
2018-04-01,145184.3962
2018-07-01,144218.6116
2018-10-01,144867.2388
2019-01-01,143128.7262
2019-04-01,143843.7938
2019-07-01,142369.9047
2019-10-01,144648.0572
2020-01-01,145329.9106
2020-04-01,143697.6857
2020-07-01,142571.0616
2020-10-01,146947.921
2021-01-01,147578.9138
2021-04-01,145369.5497
2021-07-01,146857.5959
2021-10-01,148516.9492
2022-01-01,148272.8448
2022-04-01,146020.6201
2022-07-01,148060.4268
2022-10-01,151663.151
2023-01-01,150937.4356
2023-04-01,152775.5407
2023-07-01,152587.1302
2023-10-01,151757.8964
2024-01-01,152554.7798
2024-04-01,152199.1865
2024-07-01,152991.8725
2024-10-01,151614.6998
2025-01-01,149172.1663
2025-04-01,151840.4898
2025-07-01,153536.5893
