time,value
1995-07-01,39676.4619290943
1995-10-01,38611.2410185953
1996-01-01,37117.3848330316
1996-04-01,35507.6947647977
1996-07-01,34651.5843610596
1996-10-01,34215.4539601106
1997-01-01,33301.7910630479
1997-04-01,32125.8397175886
1997-07-01,31017.5508563609
1997-10-01,30545.3651001431
1998-01-01,31432.3954059295
1998-04-01,32724.8005957294
1998-07-01,32731.9173575556
1998-10-01,31373.1563259022
1999-01-01,30108.5174785122
1999-04-01,29902.5906218872
1999-07-01,30676.291778805
1999-10-01,31856.5670802154
2000-01-01,32933.6594023385
2000-04-01,33779.5644748876
2000-07-01,34488.0875343299
2000-10-01,35166.1472949936
2001-01-01,35649.4519068637
2001-04-01,35826.6000615678
2001-07-01,35928.6386794495
2001-10-01,35917.158499213
2002-01-01,35507.2016004119
2002-04-01,34905.4877907606
2002-07-01,34854.2316525686
2002-10-01,35094.314836599
2003-01-01,35144.100423611
2003-04-01,35209.357845344
2003-07-01,35237.5236343162
2003-10-01,35120.692563737
2004-01-01,35140.5916482077
2004-04-01,35258.4426287407
2004-07-01,35408.4534293419
2004-10-01,35786.8448742493
2005-01-01,35994.6705864505
2005-04-01,35876.4403182666
2005-07-01,35707.9083172105
2005-10-01,35724.0907623669
2006-01-01,35836.7664026043
2006-04-01,35976.3952402802
2006-07-01,36160.5458007137
2006-10-01,36460.2430425837
2007-01-01,37087.8138608002
2007-04-01,38067.0076097033
2007-07-01,38890.4234548796
2007-10-01,39060.0423853086
2008-01-01,38923.2064292865
2008-04-01,38713.0952140839
2008-07-01,38666.3795556793
2008-10-01,38817.8541583842
2009-01-01,38810.7134983096
2009-04-01,38482.5565818903
2009-07-01,38044.581081415
2009-10-01,37697.8992453789
2010-01-01,37648.6146760085
2010-04-01,38025.3951532702
2010-07-01,38454.1977342128
2010-10-01,38780.5187420461
2011-01-01,39141.9790430756
2011-04-01,39388.1388705128
2011-07-01,39343.4018365932
2011-10-01,39383.8286585327
2012-01-01,39615.2005683078
2012-04-01,39662.3803027644
2012-07-01,39620.974115819
2012-10-01,39599.7919181039
2013-01-01,39459.4075919779
2013-04-01,39491.227563521
2013-07-01,39946.2922641719
2013-10-01,40373.5192808189
2014-01-01,40370.2404123601
2014-04-01,40207.94221809
2014-07-01,40300.1210981249
2014-10-01,40499.2816121503
2015-01-01,40711.0854163634
2015-04-01,40835.0768063522
2015-07-01,40446.3441313232
2015-10-01,39731.0472708043
2016-01-01,39338.8659128792
2016-04-01,38982.7999231208
2016-07-01,38767.3968397445
2016-10-01,38763.7210942549
2017-01-01,38368.8960534274
2017-04-01,37989.3196504579
2017-07-01,38170.1188228087
2017-10-01,38287.4694118779
2018-01-01,38405.0694836255
2018-04-01,38727.5286125687
2018-07-01,38289.4398607899
2018-10-01,37491.8516795769
2019-01-01,37235.8496453086
2019-04-01,37590.8390901185
2019-07-01,38194.8233946335
2019-10-01,38825.5922722199
2020-01-01,38698.0026532094
2020-04-01,37854.0351126409
2020-07-01,37120.137448045
2020-10-01,36837.0129989625
2021-01-01,36851.0776689326
2021-04-01,36861.0462017104
2021-07-01,36807.7684014788
2021-10-01,36811.0323773621
2022-01-01,37031.6813357004
