time,value
1995-07-01,13092.9599
1995-10-01,13142.7491
1996-01-01,12462.489
1996-04-01,12493.9257
1996-07-01,12281.7778
1996-10-01,12220.4599
1997-01-01,11851.5645
1997-04-01,12397.2815
1997-07-01,11627.019
1997-10-01,11334.8953
1998-01-01,11250.515
1998-04-01,11176.1091
1998-07-01,11133.8926
1998-10-01,11466.18
1999-01-01,10723.7908
1999-04-01,10735.9307
1999-07-01,10971.321
1999-10-01,10888.4452
2000-01-01,10890.3023
2000-04-01,11362.6558
2000-07-01,11635.1553
2000-10-01,11489.6623
2001-01-01,11747.6214
2001-04-01,11891.1793
2001-07-01,11590.2283
2001-10-01,12009.3641
2002-01-01,11956.941
2002-04-01,11541.291
2002-07-01,11336.1861
2002-10-01,10978.7517
2003-01-01,10781.4484
2003-04-01,10724.372
2003-07-01,10550.1389
2003-10-01,10409.7592
2004-01-01,10497.2946
2004-04-01,10785.2508
2004-07-01,10393.954
2004-10-01,10200.2382
2005-01-01,10478.4743
2005-04-01,10526.4734
2005-07-01,10711.394
2005-10-01,10266.0081
2006-01-01,10289.1108
2006-04-01,10241.1684
2006-07-01,10728.9116
2006-10-01,11041.9913
2007-01-01,11467.0999
2007-04-01,11601.7059
2007-07-01,11461.3821
2007-10-01,11608.6686
2008-01-01,11897.7355
2008-04-01,11672.0888
2008-07-01,11667.1252
2008-10-01,11227.5047
2009-01-01,11255.9046
2009-04-01,10379.7191
2009-07-01,10105.2253
2009-10-01,10058.5752
2010-01-01,10083.1246
2010-04-01,10196.0638
2010-07-01,10119.5355
2010-10-01,10467.7893
2011-01-01,11561.5516
2011-04-01,11801.5053
2011-07-01,11778.2666
2011-10-01,11882.7415
2012-01-01,11904.9728
2012-04-01,11925.5442
2012-07-01,11458.2345
2012-10-01,11307.4413
2013-01-01,11423.9483
2013-04-01,11230.018
2013-07-01,11402.5486
2013-10-01,11399.2206
2014-01-01,11745.0686
2014-04-01,11688.1883
2014-07-01,11717.8125
2014-10-01,11638.0968
2015-01-01,11743.8607
2015-04-01,11632.4613
2015-07-01,12111.7886
2015-10-01,12604.2192
2016-01-01,12753.5946
2016-04-01,12527.7782
2016-07-01,12756.8158
2016-10-01,12917.958
2017-01-01,12868.3664
2017-04-01,13874.4657
2017-07-01,14628.511
2017-10-01,14304.5821
2018-01-01,13165.3863
2018-04-01,12895.4868
2018-07-01,13456.0419
2018-10-01,14984.412
2019-01-01,14474.1645
2019-04-01,14797.2124
2019-07-01,14147.8516
2019-10-01,13735.0748
2020-01-01,13194.2118
2020-04-01,13402.3604
2020-07-01,14215.5857
2020-10-01,14527.2608
2021-01-01,14044.5145
2021-04-01,14240.5648
