time,value
1995-07-01,52726.3694513164
1995-10-01,51700.5946247325
1996-01-01,50088.042685282
1996-04-01,47477.271247454
1996-07-01,47053.3743878862
1996-10-01,46400.4224389572
1997-01-01,45398.5957028307
1997-04-01,44398.2723043054
1997-07-01,42607.4455024812
1997-10-01,41787.5342331707
1998-01-01,41438.2875906326
1998-04-01,44099.0700889343
1998-07-01,45213.4113046614
1998-10-01,41240.0077601484
1999-01-01,40959.7848975775
1999-04-01,40425.1383076615
1999-07-01,41678.39130207
1999-10-01,42700.2921356576
2000-01-01,44038.9654820231
2000-04-01,45056.2748398212
2000-07-01,45964.7743451989
2000-10-01,46807.467074876
2001-01-01,47407.1153304607
2001-04-01,47741.7818926848
2001-07-01,47163.0166599181
2001-10-01,48268.2402850214
2002-01-01,47556.2188788729
2002-04-01,46269.2487325993
2002-07-01,46081.7236304361
2002-10-01,46462.9693721101
2003-01-01,45849.1852343063
2003-04-01,45831.2954099668
2003-07-01,45870.6986000011
2003-10-01,45537.4119910633
2004-01-01,45639.0379498972
2004-04-01,46042.8561414455
2004-07-01,45672.6171343103
2004-10-01,46134.152956447
2005-01-01,46558.3176232853
2005-04-01,46224.7851405901
2005-07-01,46511.0818050362
2005-10-01,46015.6926786479
2006-01-01,46106.5189032667
2006-04-01,46181.315180737
2006-07-01,46850.2980198136
2006-10-01,47734.7810008614
2007-01-01,48174.9653679805
2007-04-01,49732.0587658604
2007-07-01,50428.4464456029
2007-10-01,50795.159356413
2008-01-01,50236.854602552
2008-04-01,50698.2694706411
2008-07-01,50315.2585388963
2008-10-01,50199.3010736506
2009-01-01,49966.5651210118
2009-04-01,48743.4080210345
2009-07-01,48322.7002045527
2009-10-01,47819.9127155483
2010-01-01,47550.5496433565
2010-04-01,48149.550975728
2010-07-01,48761.6591507414
2010-10-01,49287.933741398
2011-01-01,50539.8540736244
2011-04-01,51233.1249628696
2011-07-01,51188.2118489101
2011-10-01,51289.4094687256
2012-01-01,51446.9324007957
2012-04-01,51578.3209010866
2012-07-01,51077.76346073
2012-10-01,51058.12864344
2013-01-01,50758.0367388909
2013-04-01,50634.4599197568
2013-07-01,51455.3165996129
2013-10-01,51796.1595217407
2014-01-01,52094.4070332933
2014-04-01,51872.4658923949
2014-07-01,52015.297315412
2014-10-01,52412.9608464688
2015-01-01,52296.3410059252
2015-04-01,52647.6611634867
2015-07-01,52641.2692166681
2015-10-01,52048.7792753296
2016-01-01,52239.3248913935
2016-04-01,51649.9055991075
2016-07-01,51298.262726105
2016-10-01,51693.2346658906
2017-01-01,51424.7465840464
2017-04-01,51637.3997426373
2017-07-01,53240.7613618411
2017-10-01,52323.5185915255
2018-01-01,51595.2685839491
2018-04-01,51826.6022491086
2018-07-01,51874.3597301012
2018-10-01,51613.6066260337
2019-01-01,52116.489952287
2019-04-01,52339.4214302442
2019-07-01,52344.717927466
2019-10-01,52343.673656189
2020-01-01,52156.9406610391
2020-04-01,51189.3428849321
2020-07-01,50007.1738703727
2020-10-01,50654.9505165943
2021-01-01,50015.5965318592
2021-04-01,50436.8797032011
2021-07-01,50316.6943282272
2021-10-01,50256.2882244833
2022-01-01,50406.9531493593
2022-04-01,50277.8028017065
2022-07-01,50892.4364840094
2022-10-01,51748.331715631
2023-01-01,52243.4692986587
2023-04-01,52023.442393778
2023-07-01,52330.1566253673
2023-10-01,52155.5621989172
2024-01-01,52213.3919012489
2024-04-01,52620.1414287934
